JapanGDP,JapanFertility,Year
5176.996263,11624.0,1991
5348.169457,11808.0,1992
5930.864672,11847.999999999998,1993
6079.211955,11755.999999999998,1994
6288.772322999999,11524.0,1995
6337.231418,10696.0,1996
6317.9669969999995,10636.0,1997
6187.579073,10376.0,1998
6292.395288000001,9788.0,1999
6451.899649,8840.0,2000
6652.370572,8692.0,2001
6857.452873,8596.0,2002
7214.214656,8520.0,2003
7469.314226,8508.0,2004
7735.114231999999,8252.0,2005
8165.919733,8276.0,2006
8470.290267,7632.000000000001,2007
8530.609009,7560.0,2008
8178.963348,7456.0,2009
8122.350004999999,6968.0,2010
8396.881317,6912.000000000001,2011
8431.375117,6784.0,2012
8703.54096,6544.0,2013
8823.114362,6276.0,2014
9095.919823999999,6352.0,2015
9533.839562000001,6064.0,2016
9984.577117,5760.0,2017
10405.03397,5552.000000000001,2018
10678.84167,5480.0,2019
9724.163469,5432.0,2020
10601.17382,5407.999999999999,2021
11821.58495,,2022
